epoch,train_loss,train_accuracy,train_macro_f1,train_macro_precision,train_macro_recall,val_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,learning_rate,epoch_time_seconds
1,1.3462953503318844,0.5712056184159189,0.41127642954502636,0.4272006182980143,0.45231444528030423,1.0768928797084343,0.7304189435336976,0.5631005926338246,0.5628769055972431,0.5995173339194206,0.0001,28.845282554626465
2,1.021897186699948,0.6976199765899337,0.5373300228566981,0.5442510169252633,0.5893643651252735,0.8801853966191818,0.7668488160291439,0.6136246397468701,0.6087850414249046,0.663511634990958,0.0001,15.934147357940674
3,0.8366082665095141,0.7647288333983613,0.6245275092245588,0.6167005259905829,0.6605861449666021,0.8101542171341908,0.785063752276867,0.6192803788347536,0.612347340786237,0.6654528334625038,0.0001,15.926472187042236
4,0.7562785503039172,0.7830667186890363,0.6530706922458046,0.6399901488010398,0.6962678833936589,0.7904529498791651,0.7887067395264117,0.6499163050877156,0.6413597229782433,0.6839397718115112,0.0001,16.124513626098633
5,0.6872310839823061,0.8014046039797112,0.6889775538057028,0.6730769874114254,0.7404573163878242,0.7911856398664971,0.7832422586520947,0.6433528485681428,0.6426833570838679,0.6611647175405924,0.0001,16.609553575515747
6,0.6475386200730706,0.815060476004682,0.7033429793041481,0.6847551518874231,0.7457108656062621,0.8088198984906974,0.8051001821493625,0.6610910216407113,0.6533816681013312,0.6895635962629219,0.0001,16.039868116378784
7,0.5935578133229208,0.8419820522824815,0.747158890487786,0.7263392297861253,0.7880636186544289,0.898890226536544,0.7887067395264117,0.6020631758266143,0.6429778362693133,0.6376564062819312,0.0001,16.643617153167725
8,0.5542218010731614,0.8431525555989076,0.7475230741896262,0.730434989707135,0.7830452844638761,0.8782196389901399,0.7923497267759563,0.6467010960966393,0.6585206211155524,0.6787258460672382,0.0001,15.892014503479004
9,0.5150323658309502,0.8474444010924698,0.7574997737811613,0.7331229121115952,0.8069072663970053,0.9406937033969414,0.7978142076502732,0.6431085894305965,0.6428325646837834,0.6584837071568208,5e-05,16.548532962799072
10,0.44033450342880487,0.8673429574717129,0.7943845150172387,0.7723596706711473,0.8400981071647374,0.9074872560079849,0.8014571948998178,0.6536563322624326,0.6521414574140108,0.6603661040999125,5e-05,16.102625370025635
